Transaction ID,Date,Account Type,Transaction Amount,Cash Flow,Net Income,Revenue,Expenditure,Profit Margin,Debt-to-Equity Ratio,Operating Expenses,Gross Profit,Transaction Volume,Processing Time (seconds),Accuracy Score,Missing Data Indicator,Normalized Transaction Amount,Transaction Outcome
1,2025-01-01,Asset,1176,3184,2174,3137,1823,0.6072206626075026,2.0670035943171605,4098,2327,8,1.8946855322982903,0.9599362107665825,False,0.2187244480784955,1
2,2025-01-02,Asset,1291,3221,3236,4694,2746,0.3556080183950445,2.3475371220849217,3872,388,5,1.7289898586609072,0.9663821498904557,False,0.24223221586263288,1
3,2025-01-03,Revenue,4966,3309,3689,3363,3102,0.678347368542885,1.9010029422454768,4780,2616,2,1.7070990655734104,0.8283065728459849,False,0.9934587080948487,1
4,2025-01-04,Expense,4641,1952,245,4373,808,0.22104666783757618,0.9341252162851563,4948,2237,8,1.7506406931461864,0.984149111211907,False,0.9270237121831562,1
5,2025-01-05,Expense,2305,2131,2037,4956,644,0.5093228135427836,1.0611779667155605,3289,1729,3,0.8797075362116817,0.929107149433946,False,0.4495094031071137,1
6,2025-01-06,Revenue,3102,2795,1715,909,3287,0.4384481396252357,2.5464916902140544,3129,1770,2,1.2949217809591023,0.8826694763180651,False,0.6124284546197875,1
7,2025-01-07,Revenue,3847,2485,3955,4309,3011,0.7711295455668323,2.1858049460941174,3877,567,5,1.4303206299553475,0.8024911819670664,False,0.7647179067865904,1
8,2025-01-08,Asset,3061,4125,3477,612,3914,0.5510123416331512,1.0908808398143317,1875,3335,3,1.2391209240965422,0.8280760340416135,False,0.6040474243663123,1
9,2025-01-09,Expense,1490,2044,1907,3273,1045,0.41244077118296046,2.9322883011614733,4847,621,2,1.5171367090984604,0.8080865594836038,False,0.2829108748977923,1
10,2025-01-10,Liability,3265,3041,2905,898,3931,0.7896660687086967,2.7887179310532955,2001,2829,5,0.5582964904936504,0.8658461806717169,False,0.6457481602616517,1
11,2025-01-11,Expense,407,1700,2616,2987,362,0.6445606590759037,2.1341940734804177,521,3648,7,0.5764278263067648,0.9101939146541895,False,0.06152902698282911,1
12,2025-01-12,Revenue,4768,1946,3422,2035,534,0.48988105869719817,2.7432574282081204,3890,3378,2,0.5021510468126771,0.8486000533313479,False,0.9529844644317252,1
13,2025-01-13,Revenue,3197,3969,375,2739,272,0.7719114062206809,1.8540085874948788,4106,1070,9,0.6093338052926788,0.9222289161944762,False,0.6318479149632052,0
14,2025-01-14,Revenue,3997,3825,3205,4541,2145,0.5974301652416717,2.4119790069889318,2571,1689,8,1.6130941714544456,0.9419040701982396,False,0.7953802125919869,1
15,2025-01-15,Revenue,2244,2306,772,4540,3912,0.7486093780588849,1.8607346718065778,1644,865,8,1.594167494473906,0.8751589764915043,False,0.43704006541291907,1
16,2025-01-16,Revenue,3232,1442,3692,574,3863,0.6386340912536664,2.485887267349144,2449,3677,5,1.0933584388358248,0.8957439247563581,False,0.6390024529844645,1
17,2025-01-17,Asset,1701,2561,3961,3650,1196,0.21318330971821992,0.545350892467122,2577,699,7,1.8983617013698393,0.9597496481050689,False,0.32604251839738346,1
18,2025-01-18,Revenue,4044,3825,2580,1441,2870,0.5974039357698486,1.929621427902579,1564,3930,1,1.584761798586971,0.9345804177131041,False,0.8049877350776778,1
19,2025-01-19,Liability,2747,2662,3756,2371,1509,0.6435899274943802,0.7332837914485184,3376,3750,7,0.8215508471463608,0.8855111237578889,False,0.5398609975470156,1
20,2025-01-20,Expense,4625,1555,1801,959,3039,0.4363516053904015,2.144929255868926,1217,369,9,1.1838711356629215,0.9007271955478533,False,0.9237530662305805,1
21,2025-01-21,Revenue,1651,2079,518,2570,2781,0.32196842351237215,0.8089530847568975,1356,1061,7,1.9145707965649672,0.918738643211709,False,0.31582174979558464,1
22,2025-01-22,Expense,1358,3832,3694,326,2370,0.5159826314119658,2.477615846289593,3266,2250,3,0.8711142124672764,0.885215443215288,False,0.2559280457890433,1
23,2025-01-23,Asset,1790,1459,1854,1302,167,0.38543412490262396,2.873403227274691,4390,2503,2,1.42513729700231,0.9463374587413459,False,0.34423548650858543,1
24,2025-01-24,Liability,758,1701,294,3482,943,0.7885007581740577,0.6290463622848861,583,1300,2,1.9855905569430412,0.9805144315642511,False,0.13327882256745707,1
25,2025-01-25,Revenue,2667,2109,1759,2582,1063,0.5519775317877169,1.975170806643732,1254,1224,5,1.076067082738617,0.810621446914348,False,0.5235077677841373,1
26,2025-01-26,Liability,1377,511,3759,3057,159,0.29507999229728554,2.8261915040958923,1415,244,3,1.6789478246940353,0.8833564116524361,False,0.2598119378577269,1
27,2025-01-27,Liability,2000,4341,2212,3250,1688,0.7782565216023998,2.5328658578354712,1358,3439,7,1.5528235924865927,0.8421862560511091,False,0.38716271463614066,1
28,2025-01-28,Expense,3699,662,3438,4074,490,0.7321224851612207,0.8530910916938832,4912,1717,7,1.7936914182505272,0.8469767463081896,False,0.7344644317252658,1
29,2025-01-29,Revenue,157,4357,814,3210,805,0.7697166517796423,0.5976745483101754,4073,592,5,0.9790489331406531,0.8328600438585245,False,0.010425183973834832,1
30,2025-01-30,Liability,3956,4461,3913,2905,3148,0.6096804780568197,0.74898323100082,3624,1380,6,1.3250602902323645,0.8063993352927544,False,0.7869991823385118,1
31,2025-01-31,Liability,229,3194,1290,1984,1173,0.6539795737843184,1.5471045590151384,4640,571,2,1.5684392735502506,0.8310111126513509,False,0.025143090760425185,1
32,2025-02-01,Revenue,1045,2588,1293,2942,3060,0.25454321438931815,1.3945626571030993,605,3220,4,1.520268149396487,0.8399951186608783,False,0.1919460343417825,1
33,2025-02-02,Liability,781,3675,1934,4296,1712,0.6849348586154105,2.7214146002033317,3352,1193,2,0.6833992331676059,0.8584104740481888,False,0.13798037612428454,1
34,2025-02-03,Revenue,3879,1360,874,303,3883,0.6580201900379973,2.167068249600651,2531,1045,4,1.0073852216032027,0.8699385889673685,False,0.7712591986917416,1
35,2025-02-04,Revenue,888,578,2423,2372,1028,0.49112126821713786,2.6498126252877707,575,2453,4,1.1710621118156257,0.8142257188417845,False,0.1598528209321341,1
36,2025-02-05,Revenue,603,1075,2082,4657,1538,0.21037810840621432,2.392811116791676,4666,3643,9,1.8210810252273015,0.8436167611984682,False,0.10159443990188062,1
37,2025-02-06,Expense,2392,2664,2591,2970,633,0.3759763646848985,1.4265371755371723,2710,593,4,1.2068293091157227,0.8304882889226585,False,0.46729354047424365,1
38,2025-02-07,Asset,4671,570,2423,4452,314,0.26252262822769856,1.184934379915947,4492,445,6,1.3143557234224477,0.9613027865920077,False,0.9331561733442355,1
39,2025-02-08,Revenue,2945,1118,1940,4490,3376,0.4969123065242565,1.8556681091718565,4557,1269,2,1.5140485487181692,0.8551958398150471,False,0.580335241210139,1
40,2025-02-09,Expense,1782,3524,1168,2668,3350,0.44592282856983445,0.5098029484724496,4558,363,6,1.4431237582414473,0.9375575155767304,False,0.3426001635322976,1
41,2025-02-10,Asset,308,2478,1504,4762,499,0.2948061512184725,1.9668680452386833,982,3149,3,0.8333806032398102,0.990078771030627,False,0.04129190515126738,1
42,2025-02-11,Revenue,451,3797,3078,4426,3255,0.5509384721471168,1.4485721957850377,2543,2542,1,1.0354495118065585,0.8194884846460455,False,0.0705233033524121,1
43,2025-02-12,Asset,2513,2903,2391,3653,3517,0.7777148732108292,1.769877373339436,3301,1805,5,1.7401865405633272,0.9768580998778955,False,0.4920278004905969,1
44,2025-02-13,Liability,2391,3627,3704,2227,869,0.21095624682575848,2.8417039577812018,3649,2745,2,1.9121816997386762,0.8400687629033013,False,0.4670891251022077,1
45,2025-02-14,Revenue,4123,745,1672,775,2185,0.6674882561545359,1.4320598045284691,842,193,3,1.2276626003682842,0.9915200955732624,False,0.82113654946852,1
46,2025-02-15,Revenue,1096,3784,1742,616,3454,0.46134839256802673,0.6565468116993809,1239,2292,5,1.2171697297708577,0.9128760104045731,False,0.20237121831561733,1
47,2025-02-16,Revenue,1877,4330,1131,4319,3859,0.7700366426412484,2.022152613645722,2173,3544,6,1.915310621540011,0.873756108514059,False,0.36201962387571546,1
48,2025-02-17,Expense,4154,2431,3950,2531,2872,0.4099696546305355,1.7174817970946352,2835,1358,7,1.9313559581878712,0.9144376288932627,False,0.8274734260016353,1
49,2025-02-18,Asset,3863,1086,2694,3524,1597,0.6208118521808046,2.1532607707677744,3863,429,9,0.7669891974555365,0.8937862526400108,False,0.767988552739166,1
50,2025-02-19,Expense,1554,2221,1433,4757,2171,0.6192803042861146,1.7676925294681627,3848,3934,8,0.6169802470987767,0.9220536675106865,False,0.29599345870809485,1
51,2025-02-20,Revenue,1145,725,2919,3415,3984,0.6066363626372056,1.5176148410373655,103,3824,1,1.8977561061456099,0.8509459241378735,False,0.2123875715453802,1
52,2025-02-21,Asset,3035,1763,686,1899,3507,0.41845266089479105,1.6754366041054682,3504,1168,6,0.6967346266507775,0.8060270728776562,False,0.598732624693377,1
53,2025-02-22,Revenue,1583,3180,2808,3311,3756,0.3678396390593453,2.89166150980811,3056,1901,4,0.9305517801282948,0.892156871332472,False,0.30192150449713817,1
54,2025-02-23,Asset,3223,1548,3669,3033,1624,0.6585187853805129,0.6723455972961654,4710,1865,5,0.5425101513231184,0.9644357491864622,False,0.6371627146361406,1
55,2025-02-24,Revenue,4713,713,2297,1132,3789,0.37078195026403726,2.1617673267705255,3187,2920,5,1.2544522948164842,0.9390627965358385,False,0.9417416189697465,1
56,2025-02-25,Revenue,518,1473,666,559,2191,0.48907325386664685,2.278718635749178,1810,3558,6,1.202394642142423,0.8284382562193195,False,0.08421913327882256,1
57,2025-02-26,Expense,633,1331,1753,3002,708,0.2969716995447301,1.6240416370893338,4507,1837,8,1.2948742626216823,0.8670715698398461,False,0.10772690106295993,1
58,2025-02-27,Asset,1911,3807,2924,3687,2798,0.4107380575426667,2.110016981775898,1341,2096,3,1.4613397722945298,0.8375400558838746,False,0.3689697465249387,1
59,2025-02-28,Revenue,3846,3617,495,1572,957,0.4189380210892525,2.2613638996415544,1987,671,3,1.2649756608241625,0.8855936425540047,True,0.7645134914145544,1
60,2025-03-01,Expense,3068,1622,2919,2971,1480,0.7488874931351293,2.265233469145002,1751,2380,5,1.564431380494069,0.938193411997771,False,0.6054783319705642,1
61,2025-03-02,Expense,1493,2546,2739,3939,1389,0.29955357383853565,2.638069313389843,2311,2408,6,1.7232667796257126,0.8045818808614346,False,0.28352412101390023,1
62,2025-03-03,Revenue,2136,984,730,3561,3802,0.7789586929814032,2.024507408878443,2832,1003,5,1.5040786835970719,0.8145421131167759,False,0.41496320523303354,1
63,2025-03-04,Revenue,1822,1041,766,1769,1654,0.3107562180983992,1.2202166794601084,2532,3643,4,0.9085056211066169,0.8281230649732552,False,0.3507767784137367,1
64,2025-03-05,Liability,4441,3719,3403,1742,3055,0.7520445311647284,0.7563508581618081,4126,3163,7,0.9671460833972396,0.8138615368605929,False,0.8861406377759607,1
65,2025-03-06,Expense,402,3247,3288,1052,1450,0.21383413618551397,1.9631745654192376,3291,1775,1,1.312298549864896,0.8410457295169826,False,0.06050695012264922,1
66,2025-03-07,Revenue,3397,3124,722,4461,261,0.3098667903395205,1.2772524961643754,111,2927,7,0.9971774973177383,0.9933471333447244,False,0.6727309893704007,0
67,2025-03-08,Asset,4636,536,2209,4062,1534,0.6173352704930375,2.338742396386701,4383,252,3,0.9060164125604695,0.9035479647723595,False,0.9260016353229763,1
68,2025-03-09,Revenue,2438,3692,2565,343,2311,0.5557293131996921,0.9012505458219295,3865,2257,5,0.944680327557248,0.922054940328574,False,0.4766966475878986,1
69,2025-03-10,Liability,1140,2315,721,3037,1152,0.6112324987355647,1.5642003041071049,4081,303,6,0.903208402665094,0.8911152644393657,False,0.21136549468520033,1
70,2025-03-11,Asset,3488,557,3699,4184,2116,0.7537351519540372,2.1959058901398283,1058,966,5,1.206410739371366,0.9701066296178242,False,0.6913327882256746,1
71,2025-03-12,Expense,2983,3747,3140,3005,3370,0.25905689197345444,2.889420117711658,4171,1314,8,1.7100189685167373,0.9866186975697825,False,0.5881030253475061,1
72,2025-03-13,Liability,2101,1216,1500,1169,2448,0.7827689146616601,0.6300222089120671,4167,1981,2,0.9616496933893501,0.8555081294073911,False,0.40780866721177433,1
73,2025-03-14,Revenue,1672,3988,237,1658,2165,0.7292969613056262,1.327138709871682,215,1660,7,1.195211129726584,0.8686852325889658,False,0.32011447260834014,1
74,2025-03-15,Revenue,1292,884,3759,2785,648,0.5122495287443796,1.230677689912356,3036,538,2,0.618066529555558,0.9311480334807928,False,0.24243663123466885,1
75,2025-03-16,Asset,2358,3775,1666,2650,880,0.6229211965804942,0.8807281435394977,1818,2490,1,1.0285316924441488,0.9361040837409297,True,0.4603434178250204,1
76,2025-03-17,Liability,157,1956,1164,2890,755,0.5079494012722399,2.549537979671637,4163,2652,3,0.6692654172603023,0.8338695024669087,False,0.010425183973834832,1
77,2025-03-18,Liability,2463,1208,461,4228,1192,0.3230315047194873,2.4256239080059414,454,3598,2,1.7347155463289123,0.8642362721086194,False,0.48180703188879803,1
78,2025-03-19,Asset,4917,2063,1852,399,2549,0.49882471918445775,1.3624023710141249,357,1562,4,0.6390275949142867,0.8335876843521479,True,0.9834423548650858,1
79,2025-03-20,Expense,1390,1884,1026,4725,2266,0.42911979087420915,1.7489767345956424,136,3201,8,1.8685573721415256,0.9703626495909181,False,0.2624693376941946,1
80,2025-03-21,Asset,2857,1552,2432,4399,1432,0.37875914882228245,2.217384688165474,3740,1551,6,0.9551261420702788,0.9363681781900245,False,0.562346688470973,1
81,2025-03-22,Asset,1468,3237,3275,866,3888,0.650873241448958,0.7714634918565961,3694,1850,3,1.618468840638231,0.8516401239555637,False,0.2784137367130008,0
82,2025-03-23,Asset,3313,1014,648,3617,900,0.7651819420876906,0.5408384788555225,3874,1222,6,1.6937927160634594,0.8835507229027546,False,0.6555600981193785,1
83,2025-03-24,Asset,755,2123,3727,2370,2058,0.7019026535812789,0.5493271254869365,1736,1655,4,0.9408168267309096,0.9071216631546049,False,0.13266557645134913,1
84,2025-03-25,Liability,1589,1847,485,3529,2580,0.41551445741626886,1.5567061686751902,1533,2619,5,1.8705968146848257,0.8594953110427064,False,0.30314799672935405,1
85,2025-03-26,Asset,4509,3443,969,2261,1724,0.4752436019439213,2.9606460623592814,649,264,8,1.346726836063577,0.9737394924947812,False,0.9000408830744072,1
86,2025-03-27,Asset,1066,4020,420,2430,310,0.39572795244749037,2.665228157236913,1370,2174,3,1.5065259666321902,0.8601605276599067,False,0.19623875715453803,1
